发布时间,微博id,微博正文,原始图片url,微博视频url,发布工具,点赞数,转发数,评论数
8/10/20 16:11,Jfh6rl8Fr,【#这就是中国#】预告：变局中的中国策（嘉宾：寒竹）面对严峻复杂的国际疫情和世界经济形势，中国能否做到“以国内大循环为主体，国内国际双循环相互促进”？我们又该如何以中国标准来看待自己和世界？东方卫视《这就是中国》今晚22:00，和张维为教授一起谈谈变局中的中国策！ 观视频工作室的微博视频  ,无,"http://f.video.weibocdn.com/002YF0vggx07FwIrsFPV010412008JQ80E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1597622828&ssig=tr%2F91EpKcq&KID=unistore,video",微博 weibo.com,167,13,25
8/9/20 22:40,JfadXwo7A,【万物由来·猫砂】 001猫猫在现代城市重新“落户口”，还得感谢马克思 #睡前消息# #万物由来# 为何近年来萌猫表情包逐渐流行？习惯于自由奔跑猫如何在城市公寓“落户”？马克思说过，社会存在决定社会意识。督工认为，猫砂的发明与改良是核心原因，让猫用新的身份融入人类社会。感谢现代科技、感谢马克思，督工终于不用再去工地偷沙子了…… 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,514,170,83
8/9/20 21:21,Jf9HJBxSk,【睡前消息152：坐牢27年只赔500万，唯有透明化能挽回信任】#张玉环杀人案26年后再审改判无罪# 在错判坐牢27年后，张玉环的死缓判决被江西省最高法院撤销。按照以往案例，他会得到接近500万的赔偿，但这也并不能补偿他的损失。在这次事件中，国家公信力受损、张玉环蒙冤，这种局面怎样才能避免呢？督工认为，应当公布所有当事人的姓名和职务，再根据历史情况分别奖惩。只有让过程透明化，才能减少冤案、恢复政府公信力……另外，新百科节目《万物由来》今晚也会上线，而《我们生长的地方》将在下周更新，欢迎大家关注三个节目的更新时间。 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,3985,565,947
8/9/20 17:55,Jf8mieISY,【#温铁军#：80年代中国市场体系接近崩溃，竟是因为太透明了？】#V光计划#  奥巴马多年前访问澳州时说：“如果10多亿中国人口也过上与美国和澳大利亚同样的生活，那将是人类的悲剧和灾难。”奥巴马说的是大实话，因为西方早年间就知道他们的模式不可持续，于是开始大规模输出制造业....自己转头搞起了金融..但是搞金融就能解决根本矛盾了吗？温老师谈到了中国当年的通货膨胀形成的原因...这类思考对于现在处于紧要关头的我们意义重大！ 观视频工作室的微博视频                                 ,无,无,公开课 · 视频社区,4119,1347,628
8/8/20 20:51,Jf05ecLCA,【山高县：这一次，中国赌上了发展，美国却是在“赌命”！】#一勺思想# #山高县# 很多人担忧，在中美脱钩的趋势之下，两个国家会陷入“新冷战”，而中国的现代化发展可能被就此打断，为此而感到忧虑。但是，我们很少去考虑，美国会为此付出什么代价，美国真的像表面上那样强大和牢固吗？如果“恶龙”已经虚弱不堪，我们还要继续以投降纳贡来继续喂饱它，让它恢复力气作恶吗？还是说我们该站出来，正面迎接这一次的挑战？而在中美脱钩加速的背景下，网上最近有一种“入关学”悄然兴起：认为对于美国的极限施压，中国已经退无可退；而只有主动出击，才能让美国暴露出其真实的问题，为中国真正赢得未来。那么，“入关学”究竟是过分自大还是恰逢其时，今天小勺子就请来这种说法的提出者山高县，为大家聊一聊他眼中的中美关系。 观视频工作室的微博视频                                 ,无,无,微博 weibo.com,6612,1989,972
8/8/20 18:20,JeZ5AfNJK,【又见日本：日本想借奥运会再次伟大，可现实让他们伤透了心】#东京奥运会# #V光计划# 大家都知道..日本办奥运会的历史是很曲折的..第一次遇到二战..第二次成功办了..第三次就遇到今年对策疫情...被迫推迟，也不知道明年还能不能成功举办了...妮妮老师说，日本人把这次东京奥运会当成一次契机，可以让日本再次走向繁荣、变回“经济大国”和“科技大国”的机会。理想很美好，日本也压了很多的赌注...但是现实给了日本人民一大波冲击，这次，伤得最重的或许不是日本的经济和科技，而是日本人的心气。 观视频工作室的微博视频                                 ,无,无,微博 weibo.com,1080,130,140
8/7/20 21:09,JeQLTs3NL,【睡前消息151：黎巴嫩爆炸威力直追核弹，爆心竟还站着一栋楼】#黎巴嫩首都突发爆炸# 黎巴嫩首都贝鲁特港口几千吨硝酸铵大爆炸，上百栋建筑被夷为平地，受伤者超过5000，预计死亡至少几百。督工认为：现代工业能制造富裕生活，也集中了很多危险品。落后国家缺乏技术人才，政府腐败、效率低，而且战乱频繁，经常在工业品处理方面出问题，对自己，对世界都不是好事。大国必须尽早联合起来给这些小国来一次安全大检查。 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,1135,353,150
8/7/20 18:40,JePNmrzX0,【也说：部分香港政客嘴上说不要“方舱医院”，身体还挺诚实哈】#V光计划# #香港疫情# 大家知道我们日常的用语里有多少粤语的成分吗....今天香港出这事就撞到老马的技能点上了！事情的来源是这样的，最近香港疫情暴发令人揪心...中央援建了方舱医院，也派出了医务人员..可是吧，部分香港政客开开心心地接受了方舱医院这个医院..但却提出要改名成“社区服务设施“？部分香港政客：我要方舱医院救命，但是我要给它改个名，不然别人都知道是北京政府建的，多丢我这“东方之珠”的份啊！【B站版本有老马特殊环节哦：【也说·互动视频】香港人嘴上说不要“方舱医院”，身体还挺诚实哈】 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,603,66,155
8/7/20 16:56,JeP7n9ut9,"【中英双语】【#为什么是中国#】【Why China】#V光计划# 为什么中国高考是这样？几家欢喜几家愁小勺子给大家解锁一个新英雄：丹丹！一位想当大官的小女孩！丹丹啊，想通过做这一系列科普视频，从中国人生活中最小、最细、最日常的事情出发，追根溯源，探求原因一个最真实的中国。中国很难的一点，就是她的复杂性。丹丹想从一点一滴开始积累，跟大家一起搞清楚——为什么，是中国？as well as, Why China?【英语配音链接：【中英双语】【为什么是中国】为什么中国高考是这样？几家欢喜几家愁】 观视频工作室的微博视频                                 ",无,无,语言学习 · 视频社区,401,422,67
8/7/20 14:00,JeNXyFWsC,【这就是中国】观众提问：特朗普疫情处理得这么差，为什么美国人还能容忍他？#这就是中国# #张维为# 观视频工作室的微博视频  ,无,"http://f.video.weibocdn.com/0014TT4cgx07FqoU54wn01041200GnMl0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1597622859&ssig=G5IwvCZAoQ&KID=unistore,video",时事评论 · 视频社区,626,128,141
8/6/20 22:09,JeHJEjlhT,哦，对了，最近中美的话题很热闹，很多同学经常对小勺子提一个名字，说是很想听听他的观点。所以，很快又会有一位新朋友，入观！  原图 ,http://wx1.sinaimg.cn/large/006C8qP7gy1ghhfrsk54pj30ze0qc79u.jpg,无,微博 weibo.com,942,12,129
8/6/20 21:14,JeHnnbDHa,【唐毅南：如今我们的处境比三十年前的日本更难，但是中国人民能赢！】#美国强盗逻辑#  #字节跳动# 当年印第安人想了“十天十夜”，也没想清楚美国人为什么要杀他们。其实美国人的逻辑很简单，放在华为和字节跳动的事情上来看，就是：因为我要打压你，所以我要打压你。各位聪明的小朋友们，你们是不是跟小勺子一样，搞不懂美国“逻辑大师们”的思维，来看看唐老师的视频，解疑答惑。 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,2741,936,222
8/6/20 18:20,JeGeJu0H3,【郑戈：香港立法会有多荒诞？根本无视香港人的民生问题！】#香港##国安法##“占中”# 作为“占中三丑”中的戴耀廷的十年前同事，郑老师上一期跟我们讲了一些港大法学院的内幕。这次我们把眼光放宽，讲讲香港政治里那些荒唐的事情。香港立法会里唯一的议题就是“反”，根本不是关心香港本地的民生...哎，毕竟是曾经的“东方之珠”，此情此景，小勺子觉得很唏嘘。 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,510,146,66
8/5/20 19:27,JexfmymAS,【郑若麟：当年美国对阿尔斯通的无耻行径，正在华为和字节跳动身上重演！】#美国陷阱在中国重演# #美国试图对华发起新冷战# 大家应该都或多或少听说过《美国陷阱》这本书吧？当时美国司法部用整个国家的法律与权力对付一个公司高管，实则是为了方便美国通用公司以超低价格想买下阿尔斯通能源公司。郑老师跟我们说，他采访当事人皮耶鲁奇之后，还私下聊了很多。美国已经打败了日本，打败了欧洲众多公司，现在美国试图打败中国！我们中国如果未来要继续保持独立，就一定要打赢这场战争！像上甘岭战役一样！打到底！ 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,1943,815,326
8/5/20 14:04,Jev8ydpQE,【金灿荣：二战后美国制霸全球的秘密武器，现已转移到中国！】#这就是中国# #金灿荣# 观视频工作室的微博视频  ,无,"http://f.video.weibocdn.com/002r8wgRgx07FoBhWaWQ01041201e2oq0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1597622877&ssig=L1BMM0rUtE&KID=unistore,video",时事评论 · 视频社区,988,273,192
8/5/20 12:55,JeuGnvPXj,郑老师真的太宠同学们了！台风天还给大家录节目！想跟大家分享他跟皮耶鲁奇聊了啥，一手素材哦今晚【阿尔斯通】安排上！  [组图共2张] 原图 ,"http://ww2.sinaimg.cn/large/006C8qP7gy1ghfugvuqwjj31400u0u0x.jpg,http://ww4.sinaimg.cn/large/006C8qP7gy1ghfugv7pkej31400u07wh.jpg",无,微博 weibo.com,453,11,41
8/5/20 9:59,JetwUhN9z,大家看看小勺子现在在干啥呀？（战术后仰）  原图 ,http://wx4.sinaimg.cn/large/006C8qP7gy1ghfpcygi13j31hc0sok2x.jpg,无,微博 weibo.com,2283,670,376
8/4/20 21:41,JeoHqetaE,【睡前消息150：新闻联播谈移民扶贫，马督工要补充两句】#睡前消息# #扶贫# 149期睡前消息谈到“西马银移民开发区”被黑社会控制接收移民。近期新闻联播恰好播报一条银川郊区成功的移民扶贫社区案例——闽宁镇。西马银负责人马兴国在扫黑除恶运动中被捕，闽宁镇为何却能获得好评？马督工上期睡前消息结论基本正确——移民扶贫不能图省事！ 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,698,143,128
8/4/20 20:16,Jeo8V8iSi,【剑指金融】美国：我喜欢讹钱造铁路！中国：我没钱也能造啊！#制造业##陈平##土地金融# 某些媒体很喜欢拿中国“土地政策”说事....陈老师说，这个词叫错了，应该叫“土地金融”，这是以国家为信用背景，来拉动区域经济的方法，可没有那些人讲得那么简单！一纸红头文件下来，资源调动起来，甚至没钱的情况下，我们都可以先造几座大桥！ 观视频工作室的微博视频                                 ,无,无,公开课 · 视频社区,2161,766,450
8/4/20 19:45,JenWgizXi,【温铁军：为什么当年中国一定要“上山下乡” ？】#知青##上山下乡##国有资本# 前几期温老师跟我们聊了被殖民地的国家富不起来的根本原因，就是缺少原始资本积累。小勺子一直有个问题在嘴边，那中国的制度有什么独特之处吗？“中国特色社会主义”又意味着啥呢？温老师说呀，要回答这个问题，可以从“上山下乡”开始讲....当年美苏都封锁我们的情况下，我们是怎么突破重围的呢？ 观视频工作室的微博视频                                 ,无,无,公开课 · 视频社区,3782,1425,615
8/3/20 20:21,JeeKlk07H,【宁南山：精神控制台湾，日本和民进党都很有经验】#台湾# #日本# 要知道，在台湾统一这个问题上，物理统一很容易，但心理统一难。45年间，台湾走向“皇民化”。日据时代结束，台湾民进党也采取同样的“两路政策”，使中国人与台湾人产生身份对立。@深圳宁南山 宁南山老师给我们讲讲当年日本和民进党对台湾地区做了些什么，是怎么营造出一种“日本是高端的”、“自由民主是高级的”的这些思维范式呢？ 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,2032,833,343
8/3/20 18:39,Jee52hag0,【又见日本：日本人的死亡就跟樱花飘散一样美？快别被美国佬骗了！】#又见日本# #日本旅行# 小勺子一直有个疑惑，为什么日本人视切腹为美？为什么日本人的死亡给人一种诗意...豁达的...感觉？还有动漫里那些把死亡和樱花飘零联系在一起的情节....日本人真是这样看待生死的吗？妮妮老师告诉我们，这其实吧....一定程度上有美国佬的没见过世面的成分...啥？日本人的死亡观咋又跟美国人有关了？ 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,1038,176,119
8/3/20 15:51,JecYTmB2z,【这就是中国】预告：谈谈中国新基建（嘉宾：项立刚）#这就是中国# #张维为# 在中国人眼中，“危机”既是危也是机。因此新冠疫情爆发带来的世界经济衰退，促使了中国决定加快“新基建”的发展速度。究竟何为“新基建”？“新基建”的范围包括哪些方面？5G又为何会成为“新基建”的排头兵？东方卫视《这就是中国》今晚22:00和张维为教授一起谈谈中国“新基建”！ 观视频工作室的微博视频                                 ,无,无,微博 weibo.com,219,23,40
8/3/20 11:23,JebdShxnu,【胡锡进入驻喜马拉雅啦！】《环球时报》总编辑@胡锡进 时评节目《大事一锡话》今日正式登陆喜马拉雅！特朗普为什么想让TikTok死？台海爆发战争的现实风险高吗？这些尖锐问题都能在老胡这儿得到解读！每周一至周五，老胡将以独家视角点评全球政局动向及社会热点话题！到时候大家不论是走路、地铁、公交、开车，都能收听到老胡的辛辣点评啦！                  原图                             ,http://wx4.sinaimg.cn/large/006C8qP7gy1ghdezvlzhgj30ku112k7n.jpg,无,微博 weibo.com,101,2,32
